id	query	operator	side	expected	sub_semantics	super_semantics	sub_federation	super_federation
001-service_S2-add_fresh_variable_clause_at_contacted_member_to_sub	service_S2	add_fresh_variable_clause_at_contacted_member_to_sub	sub	not contained	bag-set	bag-set		
002-service_S2-add_fresh_variable_clause_at_new_member_to_sub	service_S2	add_fresh_variable_clause_at_new_member_to_sub	sub	not contained	bag-set	bag-set		
003-service_S2-add_member_to_super	service_S2	add_member_to_super	super	not contained	bag-set	bag-set		
004-auto_qc_nop_Q0a-add_shared_variable_clause_to_sub	auto_qc_nop_Q0a	add_shared_variable_clause_to_sub	sub	contained	bag-set	bag-set		
005-auto_qc_nop_Q0c-assign_federation	auto_qc_nop_Q0c	assign_federation	both	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b
006-service_S2-bind_local_variable	service_S2	bind_local_variable	sub	contained	bag-set	bag-set		
007-service_S2-drop_head_variable	service_S2	drop_head_variable	sub	not contained	bag-set	bag-set		
008-service_S2-drop_head_variable	service_S2	drop_head_variable	super	not contained	bag-set	bag-set		
009-service_S2-drop_head_variable	service_S2	drop_head_variable	both	contained	bag-set	bag-set		
010-auto_qc_proj_Q19c-drop_variable_from_super	auto_qc_proj_Q19c	drop_variable_from_super	super	not contained	bag-set	bag-set		
011-service_S2-identity	service_S2	identity	both	contained	bag-set	bag-set		
012-service_S2-relax_clause	service_S2	relax_clause	sub	not contained	bag-set	bag-set		
013-service_S2-relax_clause	service_S2	relax_clause	super	contained	bag-set	bag-set		
014-service_S2-rename_local_variable	service_S2	rename_local_variable	sub	contained	bag-set	bag-set		
015-service_S2-rename_local_variable	service_S2	rename_local_variable	super	contained	bag-set	bag-set		
016-service_S2-rename_local_variable	service_S2	rename_local_variable	both	contained	bag-set	bag-set		
017-service_S2-rename_member	service_S2	rename_member	sub	not contained	bag-set	bag-set		
018-service_S2-rename_member	service_S2	rename_member	super	not contained	bag-set	bag-set		
019-service_S2-reorder_body	service_S2	reorder_body	sub	contained	bag-set	bag-set		
020-service_S2-reorder_body	service_S2	reorder_body	super	contained	bag-set	bag-set		
021-service_S2-reorder_body	service_S2	reorder_body	both	contained	bag-set	bag-set		
022-service_S2-swap_constant	service_S2	swap_constant	sub	not contained	bag-set	bag-set		
023-service_S2-swap_constant	service_S2	swap_constant	super	not contained	bag-set	bag-set		
024-auto_qc_nop_Q0c-widen_virtual_member	auto_qc_nop_Q0c	widen_virtual_member	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c	http://example.org/a http://example.org/b
025-auto_qc_nop_Q0c-widen_virtual_member	auto_qc_nop_Q0c	widen_virtual_member	super	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b http://example.org/c
