id	query	operator	side	expected	sub_semantics	super_semantics	sub_federation	super_federation
001-star_10-add_fresh_variable_clause_at_contacted_member_to_sub	star_10	add_fresh_variable_clause_at_contacted_member_to_sub	sub	not contained	bag-set	bag-set		
002-star_10-add_fresh_variable_clause_at_new_member_to_sub	star_10	add_fresh_variable_clause_at_new_member_to_sub	sub	not contained	bag-set	bag-set		
003-star_10-add_member_to_super	star_10	add_member_to_super	super	not contained	bag-set	bag-set		
004-star_10-add_shared_variable_clause_to_sub	star_10	add_shared_variable_clause_to_sub	sub	contained	bag-set	bag-set		
005-star_local_10-assign_federation	star_local_10	assign_federation	both	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b
006-star_10-bind_local_variable	star_10	bind_local_variable	sub	contained	bag-set	bag-set		
007-star_10-drop_head_variable	star_10	drop_head_variable	sub	not contained	bag-set	bag-set		
008-star_10-drop_head_variable	star_10	drop_head_variable	super	not contained	bag-set	bag-set		
009-star_10-drop_head_variable	star_10	drop_head_variable	both	contained	bag-set	bag-set		
010-star_10-drop_variable_from_super	star_10	drop_variable_from_super	super	not contained	bag-set	bag-set		
011-star_10-identity	star_10	identity	both	contained	bag-set	bag-set		
012-star_10-relax_clause	star_10	relax_clause	sub	not contained	bag-set	bag-set		
013-star_10-relax_clause	star_10	relax_clause	super	contained	bag-set	bag-set		
014-star_10-rename_local_variable	star_10	rename_local_variable	sub	contained	bag-set	bag-set		
015-star_10-rename_local_variable	star_10	rename_local_variable	super	contained	bag-set	bag-set		
016-star_10-rename_local_variable	star_10	rename_local_variable	both	contained	bag-set	bag-set		
017-star_10-rename_member	star_10	rename_member	sub	not contained	bag-set	bag-set		
018-star_10-rename_member	star_10	rename_member	super	not contained	bag-set	bag-set		
019-star_10-reorder_body	star_10	reorder_body	sub	contained	bag-set	bag-set		
020-star_10-reorder_body	star_10	reorder_body	super	contained	bag-set	bag-set		
021-star_10-reorder_body	star_10	reorder_body	both	contained	bag-set	bag-set		
022-star_10-swap_constant	star_10	swap_constant	sub	not contained	bag-set	bag-set		
