id	query	operator	side	expected	sub_semantics	super_semantics	sub_federation	super_federation
001-auto_qc_proj_Q17b-identity	auto_qc_proj_Q17b	identity	both	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
002-auto_qc_proj_Q17b-reorder_body	auto_qc_proj_Q17b	reorder_body	sub	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
003-auto_qc_proj_Q17b-reorder_body	auto_qc_proj_Q17b	reorder_body	super	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
004-auto_qc_proj_Q17b-reorder_body	auto_qc_proj_Q17b	reorder_body	both	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
005-auto_qc_proj_Q17b-rename_local_variable	auto_qc_proj_Q17b	rename_local_variable	sub	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
006-auto_qc_proj_Q17b-rename_local_variable	auto_qc_proj_Q17b	rename_local_variable	super	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
007-auto_qc_proj_Q17b-rename_local_variable	auto_qc_proj_Q17b	rename_local_variable	both	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
008-auto_qc_proj_Q17b-bind_local_variable	auto_qc_proj_Q17b	bind_local_variable	sub	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
009-auto_qc_proj_Q17b-drop_head_variable	auto_qc_proj_Q17b	drop_head_variable	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
010-auto_qc_proj_Q17b-drop_head_variable	auto_qc_proj_Q17b	drop_head_variable	super	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
011-auto_qc_proj_Q17b-drop_head_variable	auto_qc_proj_Q17b	drop_head_variable	both	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
012-auto_qc_proj_Q17b-swap_constant	auto_qc_proj_Q17b	swap_constant	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
013-auto_qc_proj_Q17b-swap_constant	auto_qc_proj_Q17b	swap_constant	super	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
014-auto_qc_proj_Q17b-relax_clause	auto_qc_proj_Q17b	relax_clause	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
015-auto_qc_proj_Q17b-relax_clause	auto_qc_proj_Q17b	relax_clause	super	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
016-auto_qc_proj_Q17b-rename_member	auto_qc_proj_Q17b	rename_member	sub	not contained	bag	bag	http://example.org/b http://example.org/c http://example.org/d http://example.org/e	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
017-auto_qc_proj_Q17b-rename_member	auto_qc_proj_Q17b	rename_member	super	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/b http://example.org/c http://example.org/d http://example.org/e
018-auto_qc_proj_Q17b-add_member_to_super	auto_qc_proj_Q17b	add_member_to_super	super	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d http://example.org/e
019-auto_qc_nop_Q7b-assign_federation	auto_qc_nop_Q7b	assign_federation	both	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b
020-auto_qc_nop_Q7b-widen_virtual_member	auto_qc_nop_Q7b	widen_virtual_member	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d http://example.org/e	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
021-auto_qc_nop_Q7b-widen_virtual_member	auto_qc_nop_Q7b	widen_virtual_member	super	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d http://example.org/e
022-auto_qc_proj_Q17b-drop_variable_from_super	auto_qc_proj_Q17b	drop_variable_from_super	super	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
023-auto_qc_proj_Q21b-identity	auto_qc_proj_Q21b	identity	both	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
024-auto_qc_proj_Q21b-reorder_body	auto_qc_proj_Q21b	reorder_body	sub	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
025-auto_qc_proj_Q21b-reorder_body	auto_qc_proj_Q21b	reorder_body	super	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
026-auto_qc_proj_Q21b-reorder_body	auto_qc_proj_Q21b	reorder_body	both	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
027-auto_qc_proj_Q21b-rename_local_variable	auto_qc_proj_Q21b	rename_local_variable	sub	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
028-auto_qc_proj_Q21b-rename_local_variable	auto_qc_proj_Q21b	rename_local_variable	super	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
029-auto_qc_proj_Q21b-rename_local_variable	auto_qc_proj_Q21b	rename_local_variable	both	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
030-auto_qc_proj_Q21b-bind_local_variable	auto_qc_proj_Q21b	bind_local_variable	sub	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
031-auto_qc_proj_Q21b-drop_head_variable	auto_qc_proj_Q21b	drop_head_variable	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
032-auto_qc_proj_Q21b-drop_head_variable	auto_qc_proj_Q21b	drop_head_variable	super	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
033-auto_qc_proj_Q21b-drop_head_variable	auto_qc_proj_Q21b	drop_head_variable	both	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
034-auto_qc_proj_Q21b-swap_constant	auto_qc_proj_Q21b	swap_constant	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
035-auto_qc_proj_Q21b-swap_constant	auto_qc_proj_Q21b	swap_constant	super	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
036-auto_qc_proj_Q21b-relax_clause	auto_qc_proj_Q21b	relax_clause	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
037-auto_qc_proj_Q21b-relax_clause	auto_qc_proj_Q21b	relax_clause	super	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
038-auto_qc_proj_Q21b-rename_member	auto_qc_proj_Q21b	rename_member	sub	not contained	bag	bag	http://example.org/b http://example.org/c http://example.org/d http://example.org/e	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
039-auto_qc_proj_Q21b-rename_member	auto_qc_proj_Q21b	rename_member	super	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/b http://example.org/c http://example.org/d http://example.org/e
040-auto_qc_proj_Q21b-add_member_to_super	auto_qc_proj_Q21b	add_member_to_super	super	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d http://example.org/e
041-auto_qc_proj_Q17b-assign_federation	auto_qc_proj_Q17b	assign_federation	both	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b
042-auto_qc_proj_Q17b-widen_virtual_member	auto_qc_proj_Q17b	widen_virtual_member	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d http://example.org/e	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
043-auto_qc_proj_Q17b-widen_virtual_member	auto_qc_proj_Q17b	widen_virtual_member	super	contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d http://example.org/e
044-auto_qc_proj_Q19c-drop_variable_from_super	auto_qc_proj_Q19c	drop_variable_from_super	super	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c http://example.org/d	http://example.org/a http://example.org/b http://example.org/c http://example.org/d
