id	query	operator	side	expected	sub_semantics	super_semantics	sub_federation	super_federation
001-scale_10-add_fresh_variable_clause_at_contacted_member_to_sub	scale_10	add_fresh_variable_clause_at_contacted_member_to_sub	sub	not contained	bag-set	bag-set		
002-scale_10-add_fresh_variable_clause_at_new_member_to_sub	scale_10	add_fresh_variable_clause_at_new_member_to_sub	sub	not contained	bag-set	bag-set		
003-scale_10-add_member_to_super	scale_10	add_member_to_super	super	not contained	bag-set	bag-set		
004-scale_10-add_shared_variable_clause_to_sub	scale_10	add_shared_variable_clause_to_sub	sub	contained	bag-set	bag-set		
005-scale_local_10-assign_federation	scale_local_10	assign_federation	both	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b
006-scale_10-bind_local_variable	scale_10	bind_local_variable	sub	contained	bag-set	bag-set		
007-scale_10-drop_head_variable	scale_10	drop_head_variable	sub	not contained	bag-set	bag-set		
008-scale_10-drop_head_variable	scale_10	drop_head_variable	super	not contained	bag-set	bag-set		
009-scale_10-drop_head_variable	scale_10	drop_head_variable	both	contained	bag-set	bag-set		
010-scale_10-drop_variable_from_super	scale_10	drop_variable_from_super	super	not contained	bag-set	bag-set		
011-scale_10-identity	scale_10	identity	both	contained	bag-set	bag-set		
012-scale_10-relax_clause	scale_10	relax_clause	sub	not contained	bag-set	bag-set		
013-scale_10-relax_clause	scale_10	relax_clause	super	contained	bag-set	bag-set		
014-scale_10-rename_local_variable	scale_10	rename_local_variable	sub	contained	bag-set	bag-set		
015-scale_10-rename_local_variable	scale_10	rename_local_variable	super	contained	bag-set	bag-set		
016-scale_10-rename_local_variable	scale_10	rename_local_variable	both	contained	bag-set	bag-set		
017-scale_10-rename_member	scale_10	rename_member	sub	not contained	bag-set	bag-set		
018-scale_10-rename_member	scale_10	rename_member	super	not contained	bag-set	bag-set		
019-scale_10-reorder_body	scale_10	reorder_body	sub	contained	bag-set	bag-set		
020-scale_10-reorder_body	scale_10	reorder_body	super	contained	bag-set	bag-set		
021-scale_10-reorder_body	scale_10	reorder_body	both	contained	bag-set	bag-set		
022-scale_10-swap_constant	scale_10	swap_constant	sub	not contained	bag-set	bag-set		
023-scale_10-swap_constant	scale_10	swap_constant	super	not contained	bag-set	bag-set		
024-scale_local_10-widen_virtual_member	scale_local_10	widen_virtual_member	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c	http://example.org/a http://example.org/b
025-scale_local_10-widen_virtual_member	scale_local_10	widen_virtual_member	super	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b http://example.org/c
026-scale_100-add_fresh_variable_clause_at_contacted_member_to_sub	scale_100	add_fresh_variable_clause_at_contacted_member_to_sub	sub	not contained	bag-set	bag-set		
027-scale_100-add_fresh_variable_clause_at_new_member_to_sub	scale_100	add_fresh_variable_clause_at_new_member_to_sub	sub	not contained	bag-set	bag-set		
028-scale_100-add_member_to_super	scale_100	add_member_to_super	super	not contained	bag-set	bag-set		
029-scale_100-add_shared_variable_clause_to_sub	scale_100	add_shared_variable_clause_to_sub	sub	contained	bag-set	bag-set		
030-scale_local_100-assign_federation	scale_local_100	assign_federation	both	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b
031-scale_100-bind_local_variable	scale_100	bind_local_variable	sub	contained	bag-set	bag-set		
032-scale_100-drop_head_variable	scale_100	drop_head_variable	sub	not contained	bag-set	bag-set		
033-scale_100-drop_head_variable	scale_100	drop_head_variable	super	not contained	bag-set	bag-set		
034-scale_100-drop_head_variable	scale_100	drop_head_variable	both	contained	bag-set	bag-set		
035-scale_100-drop_variable_from_super	scale_100	drop_variable_from_super	super	not contained	bag-set	bag-set		
036-scale_100-identity	scale_100	identity	both	contained	bag-set	bag-set		
037-scale_100-relax_clause	scale_100	relax_clause	sub	not contained	bag-set	bag-set		
038-scale_100-relax_clause	scale_100	relax_clause	super	contained	bag-set	bag-set		
039-scale_100-rename_local_variable	scale_100	rename_local_variable	sub	contained	bag-set	bag-set		
040-scale_100-rename_local_variable	scale_100	rename_local_variable	super	contained	bag-set	bag-set		
041-scale_100-rename_local_variable	scale_100	rename_local_variable	both	contained	bag-set	bag-set		
042-scale_100-rename_member	scale_100	rename_member	sub	not contained	bag-set	bag-set		
043-scale_100-rename_member	scale_100	rename_member	super	not contained	bag-set	bag-set		
044-scale_100-reorder_body	scale_100	reorder_body	sub	contained	bag-set	bag-set		
045-scale_100-reorder_body	scale_100	reorder_body	super	contained	bag-set	bag-set		
046-scale_100-reorder_body	scale_100	reorder_body	both	contained	bag-set	bag-set		
047-scale_100-swap_constant	scale_100	swap_constant	sub	not contained	bag-set	bag-set		
048-scale_100-swap_constant	scale_100	swap_constant	super	not contained	bag-set	bag-set		
049-scale_local_100-widen_virtual_member	scale_local_100	widen_virtual_member	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c	http://example.org/a http://example.org/b
050-scale_local_100-widen_virtual_member	scale_local_100	widen_virtual_member	super	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b http://example.org/c
051-scale_1000-add_fresh_variable_clause_at_contacted_member_to_sub	scale_1000	add_fresh_variable_clause_at_contacted_member_to_sub	sub	not contained	bag-set	bag-set		
052-scale_1000-add_fresh_variable_clause_at_new_member_to_sub	scale_1000	add_fresh_variable_clause_at_new_member_to_sub	sub	not contained	bag-set	bag-set		
053-scale_1000-add_member_to_super	scale_1000	add_member_to_super	super	not contained	bag-set	bag-set		
054-scale_1000-add_shared_variable_clause_to_sub	scale_1000	add_shared_variable_clause_to_sub	sub	contained	bag-set	bag-set		
055-scale_local_1000-assign_federation	scale_local_1000	assign_federation	both	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b
056-scale_1000-bind_local_variable	scale_1000	bind_local_variable	sub	contained	bag-set	bag-set		
057-scale_1000-drop_head_variable	scale_1000	drop_head_variable	sub	not contained	bag-set	bag-set		
058-scale_1000-drop_head_variable	scale_1000	drop_head_variable	super	not contained	bag-set	bag-set		
059-scale_1000-drop_head_variable	scale_1000	drop_head_variable	both	contained	bag-set	bag-set		
060-scale_1000-drop_variable_from_super	scale_1000	drop_variable_from_super	super	not contained	bag-set	bag-set		
061-scale_1000-identity	scale_1000	identity	both	contained	bag-set	bag-set		
062-scale_1000-relax_clause	scale_1000	relax_clause	sub	not contained	bag-set	bag-set		
063-scale_1000-relax_clause	scale_1000	relax_clause	super	contained	bag-set	bag-set		
064-scale_1000-rename_local_variable	scale_1000	rename_local_variable	sub	contained	bag-set	bag-set		
065-scale_1000-rename_local_variable	scale_1000	rename_local_variable	super	contained	bag-set	bag-set		
066-scale_1000-rename_local_variable	scale_1000	rename_local_variable	both	contained	bag-set	bag-set		
067-scale_1000-rename_member	scale_1000	rename_member	sub	not contained	bag-set	bag-set		
068-scale_1000-rename_member	scale_1000	rename_member	super	not contained	bag-set	bag-set		
069-scale_1000-reorder_body	scale_1000	reorder_body	sub	contained	bag-set	bag-set		
070-scale_1000-reorder_body	scale_1000	reorder_body	super	contained	bag-set	bag-set		
071-scale_1000-reorder_body	scale_1000	reorder_body	both	contained	bag-set	bag-set		
072-scale_1000-swap_constant	scale_1000	swap_constant	sub	not contained	bag-set	bag-set		
073-scale_1000-swap_constant	scale_1000	swap_constant	super	not contained	bag-set	bag-set		
074-scale_local_1000-widen_virtual_member	scale_local_1000	widen_virtual_member	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c	http://example.org/a http://example.org/b
075-scale_local_1000-widen_virtual_member	scale_local_1000	widen_virtual_member	super	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b http://example.org/c
